,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
458,Other,Catuai,7.5,7.5,7.67,7.67,7.67,0.1,Yes
459,Other,Caturra,7.67,7.5,7.67,7.5,7.67,0.11,Yes
460,Guatemala,Catuai,7.33,7.17,8.17,7.33,7.67,0.09,Yes
462,Other,Bourbon,7.58,7.58,7.75,7.58,7.58,0.12,Yes
463,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.67,0.11,Yes
464,Mexico,Typica,7.75,7.58,7.58,7.5,7.42,0.11,Yes
465,Mexico,Typica,7.75,7.58,7.5,7.42,7.58,0.12,Yes
466,Mexico,Other,7.58,7.42,7.67,7.5,7.58,0.14,Yes
467,Colombia,Caturra,7.67,7.5,7.5,7.58,8.17,0.11,Yes
468,Mexico,Typica,7.75,7.42,7.75,7.58,7.58,0.13,Yes
469,Colombia,Caturra,7.58,7.5,7.58,7.67,7.67,0.11,Yes
470,Mexico,Typica,7.5,7.58,7.58,7.67,7.5,0.11,Yes
471,Brazil,Other,7.75,7.58,7.5,7.58,7.58,0.12,Yes
472,Brazil,Other,7.92,7.5,7.58,7.42,7.5,0.11,Yes
473,Guatemala,Bourbon,7.75,7.67,7.5,7.92,8.0,0.0,Yes
474,Brazil,Other,7.75,7.58,7.5,7.75,7.5,0.12,Yes
478,Colombia,Caturra,7.58,7.33,7.67,7.75,7.58,0.0,Yes
480,Brazil,Other,7.58,7.58,7.5,7.67,7.58,0.11,Yes
481,Brazil,Other,7.33,7.67,7.33,7.75,7.42,0.0,Yes
482,Taiwan,Typica,7.83,7.5,7.83,7.67,7.25,0.0,Yes
484,Brazil,Bourbon,7.58,7.67,7.42,7.42,7.5,0.0,Yes
485,Other,Catuai,7.83,7.5,7.67,7.58,7.67,0.1,Yes
487,Taiwan,Typica,7.75,7.5,7.5,7.5,7.5,0.11,Yes
489,Mexico,Other,7.75,7.42,7.75,7.5,7.5,0.1,Yes
492,Colombia,Caturra,7.33,7.33,7.58,7.25,8.08,0.01,Yes
496,Brazil,Bourbon,7.58,7.5,7.75,7.67,7.5,0.0,Yes
497,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.5,0.11,Yes
498,Brazil,Bourbon,7.5,7.58,7.67,7.58,7.42,0.11,Yes
499,Other,Bourbon,7.67,7.42,7.42,7.83,7.5,0.12,Yes
500,Other,Bourbon,7.67,7.5,7.58,7.42,7.5,0.12,Yes
502,Other,Caturra,7.75,7.58,7.58,7.42,7.67,0.0,Yes
503,Guatemala,Catuai,7.67,7.33,7.92,7.42,7.5,0.11,Yes
504,Guatemala,Catuai,7.75,7.33,7.75,7.5,7.42,0.11,Yes
505,Guatemala,Bourbon,7.83,7.25,7.67,7.75,7.5,0.11,Yes
506,Brazil,Catuai,7.67,7.67,7.5,7.42,7.5,0.0,Yes
507,Taiwan,Typica,7.92,7.83,7.58,7.33,7.25,0.08,Yes
508,Other,Other,7.83,7.5,7.5,7.58,7.5,0.12,Yes
509,Other,Other,7.67,7.67,7.83,7.75,7.83,0.0,Yes
510,Guatemala,Bourbon,7.67,7.42,7.83,7.5,7.5,0.1,Yes
511,Other,Catuai,7.67,7.5,7.58,7.5,7.5,0.11,Yes
512,Brazil,Other,7.75,7.42,7.67,7.42,7.67,0.12,Yes
513,Colombia,Caturra,7.75,7.33,7.5,7.58,7.17,0.11,Yes
514,Colombia,Caturra,7.83,7.58,7.33,7.5,7.67,0.0,Yes
515,Colombia,Caturra,7.33,7.75,7.42,7.75,7.58,0.11,Yes
516,Colombia,Caturra,7.58,7.42,7.67,7.58,7.42,0.0,Yes
517,Colombia,Caturra,7.5,7.42,7.58,7.75,7.58,0.11,Yes
518,Mexico,Typica,7.67,7.42,7.5,7.67,7.58,0.11,Yes
519,Mexico,Typica,7.67,7.5,7.58,7.58,7.67,0.11,Yes
520,Mexico,Bourbon,7.5,7.5,7.5,7.58,7.58,0.11,Yes
522,Colombia,Caturra,7.75,7.5,7.67,7.83,7.75,0.0,Yes
523,Colombia,Caturra,7.67,7.58,7.58,7.67,7.42,0.11,Yes
524,Guatemala,Bourbon,7.5,7.5,7.67,7.5,7.83,0.1,Yes
525,Colombia,Caturra,7.67,7.58,7.5,7.67,7.42,0.12,Yes
533,Brazil,Bourbon,7.67,7.5,7.58,7.58,7.5,0.0,Yes
534,Other,Bourbon,7.5,7.75,7.58,7.92,7.83,0.0,Yes
535,Colombia,Caturra,7.58,7.5,7.33,7.67,7.58,0.11,Yes
536,Taiwan,Caturra,7.17,7.25,7.67,7.67,7.58,0.09,Yes
537,Other,Other,7.58,7.5,7.5,7.58,7.58,0.0,Yes
538,Taiwan,Typica,7.5,7.67,7.33,7.5,7.75,0.0,Yes
539,Other,Other,7.58,7.67,7.58,7.5,7.5,0.11,Yes
540,Other,Other,8.08,7.67,7.42,7.33,7.5,0.0,Yes
541,Mexico,Typica,7.83,7.25,7.58,7.5,7.5,0.13,Yes
542,Mexico,Bourbon,7.75,7.42,7.42,7.75,7.5,0.12,Yes
543,Brazil,Other,7.08,7.5,7.83,7.75,7.67,0.11,Yes
544,Other,Other,8.0,7.5,7.58,7.33,7.42,0.12,Yes
545,Other,Other,7.75,7.58,7.5,7.5,7.5,0.12,Yes
546,Guatemala,Bourbon,7.75,7.42,7.58,7.67,7.5,0.1,Yes
547,Guatemala,Caturra,7.67,7.42,7.5,7.33,7.5,0.1,Yes
549,Colombia,Caturra,7.58,7.75,7.33,7.58,7.58,0.11,Yes
550,Colombia,Caturra,7.75,7.25,7.5,7.75,7.5,0.0,Yes
551,Guatemala,Bourbon,7.83,7.25,7.92,7.5,7.17,0.11,Yes
552,Colombia,Other,7.83,7.42,7.42,7.5,7.58,0.11,Yes
553,Mexico,Typica,7.58,7.33,7.25,7.58,7.75,0.1,Yes
554,Other,Other,7.67,7.17,7.58,8.08,7.42,0.0,Yes
555,Mexico,Typica,8.0,7.67,7.17,7.67,7.42,0.14,Yes
559,Other,Other,7.75,7.42,7.58,7.5,7.5,0.1,Yes
560,Guatemala,Bourbon,7.5,7.33,7.67,7.58,7.58,0.11,Yes
561,Brazil,Other,7.67,7.58,7.5,7.5,7.42,0.11,Yes
562,Other,Other,7.33,7.67,7.83,7.33,7.67,0.0,Yes
563,Other,Bourbon,7.83,7.75,7.83,7.75,7.75,0.11,Yes
564,Other,Other,7.25,7.5,7.42,7.75,7.42,0.11,Yes
565,Guatemala,Bourbon,7.58,7.33,7.67,7.67,7.5,0.11,Yes
566,Brazil,Catuai,7.58,7.33,7.67,7.42,7.33,0.12,Yes
567,Colombia,Other,7.83,7.5,7.58,7.5,7.67,0.0,Yes
568,Other,Other,7.42,7.25,7.5,7.75,7.75,0.0,Yes
569,Guatemala,Bourbon,7.67,7.75,7.67,7.42,7.17,0.1,Yes
570,Colombia,Typica,7.5,7.58,7.5,7.58,7.58,0.0,Yes
571,Colombia,Caturra,7.83,7.5,7.42,7.5,7.5,0.11,Yes
572,Other,Other,7.67,7.33,7.25,7.58,7.75,0.11,Yes
573,Mexico,Caturra,7.58,7.5,7.58,7.5,7.5,0.12,Yes
574,Mexico,Bourbon,7.67,7.42,7.75,7.42,7.42,0.12,Yes
575,Guatemala,Bourbon,7.67,7.33,7.5,7.33,7.92,0.11,Yes
576,Mexico,Typica,7.58,7.5,7.42,7.67,7.58,0.11,Yes
578,Guatemala,Caturra,7.5,7.42,7.67,7.58,7.5,0.1,Yes
579,Guatemala,Caturra,7.58,7.5,7.58,7.5,7.42,0.11,Yes
580,Guatemala,Bourbon,7.5,7.17,7.67,7.67,7.58,0.11,Yes
581,Guatemala,Bourbon,7.5,7.42,7.58,7.67,7.5,0.1,Yes
582,Guatemala,Bourbon,7.42,7.42,7.67,7.5,7.5,0.1,Yes
583,Other,Other,7.5,7.42,7.58,7.58,7.5,0.12,Yes
584,Guatemala,Bourbon,7.58,7.33,7.58,7.33,7.67,0.12,Yes
585,Taiwan,Other,7.83,7.33,7.67,7.58,7.67,0.0,Yes
586,Other,Bourbon,7.67,7.17,7.33,7.58,7.67,0.0,Yes
587,Other,Caturra,7.58,7.42,7.67,7.42,7.5,0.09,Yes
588,Other,Caturra,7.58,7.42,7.58,7.5,7.5,0.09,Yes
589,Brazil,Other,7.5,7.58,7.5,7.58,7.58,0.11,Yes
590,Other,Other,7.67,7.33,7.33,7.67,7.67,0.1,Yes
591,Other,Other,7.5,7.42,7.67,7.5,7.5,0.11,Yes
592,Colombia,Caturra,7.5,7.58,7.75,7.33,7.5,0.0,Yes
593,Other,Other,7.75,7.42,7.5,7.33,7.5,0.12,Yes
594,Guatemala,Other,7.75,7.25,7.75,7.5,7.67,0.13,Yes
595,Colombia,Typica,7.67,7.42,7.58,7.33,7.67,0.12,Yes
598,Colombia,Caturra,7.58,7.17,7.33,7.25,8.58,0.1,Yes
599,Mexico,Typica,7.58,7.5,7.5,7.5,7.5,0.12,Yes
600,Mexico,Typica,7.58,7.33,7.75,7.25,7.58,0.12,Yes
601,Mexico,Typica,8.08,8.0,8.0,7.83,7.92,0.12,Yes
602,Colombia,Caturra,7.5,7.42,7.67,7.5,7.58,0.0,Yes
603,Colombia,Caturra,7.67,7.58,7.58,7.5,7.42,0.11,Yes
605,Other,Catuai,7.42,7.5,7.58,7.5,7.75,0.0,Yes
607,Brazil,Bourbon,7.5,7.25,7.75,7.58,7.5,0.0,Yes
608,Brazil,Bourbon,7.5,7.5,7.67,7.5,7.42,0.11,Yes
609,Other,Other,7.67,7.42,7.42,7.42,7.5,0.13,Yes
610,Other,Other,7.67,7.67,7.67,7.5,7.67,0.0,Yes
613,Brazil,Other,7.58,7.42,7.67,7.5,7.5,0.0,Yes
615,Other,Other,7.5,7.5,7.5,7.5,7.58,0.12,Yes
616,Other,Bourbon,7.58,7.5,7.58,7.33,7.58,0.12,Yes
617,Taiwan,Typica,8.0,7.83,7.42,7.25,7.25,0.08,Yes
618,Mexico,Typica,7.67,7.42,7.5,7.42,7.5,0.11,Yes
619,Other,Other,7.67,7.33,7.67,7.5,7.5,0.12,Yes
620,Taiwan,Typica,7.67,7.5,7.5,7.5,7.5,0.11,Yes
621,Other,Caturra,7.42,7.5,7.67,7.58,7.5,0.11,Yes
622,Colombia,Caturra,7.75,7.67,7.25,7.58,7.42,0.11,Yes
624,Guatemala,Caturra,7.67,7.17,7.67,7.5,7.5,0.11,Yes
626,Mexico,Other,7.58,7.42,7.58,7.42,7.5,0.11,Yes
627,Mexico,Typica,7.5,7.58,7.58,7.42,7.42,0.12,Yes
630,Mexico,Other,7.75,7.25,7.75,7.67,7.58,0.0,Yes
633,Guatemala,Bourbon,7.5,7.42,7.75,7.5,7.5,0.1,Yes
634,Taiwan,Typica,7.67,7.5,7.42,7.58,7.5,0.11,Yes
638,Other,Typica,7.83,7.42,7.33,7.42,7.5,0.13,Yes
640,Other,Caturra,7.42,7.58,7.42,7.58,7.5,0.12,Yes
641,Other,Other,7.75,7.33,7.5,7.58,7.5,0.12,Yes
642,Other,Other,7.83,7.42,7.58,7.42,7.42,0.12,Yes
643,Other,Catuai,7.67,7.5,7.67,7.0,7.75,0.11,Yes
646,Colombia,Caturra,7.75,7.33,7.42,7.5,7.83,0.11,Yes
647,Colombia,Caturra,7.75,7.75,7.25,7.33,7.58,0.11,Yes
648,Colombia,Caturra,7.58,7.42,7.58,7.67,7.42,0.11,Yes
649,Mexico,Typica,7.5,7.5,7.5,7.42,7.5,0.1,Yes
650,Mexico,Typica,7.67,7.58,7.75,7.67,6.83,0.12,Yes
651,Colombia,Caturra,7.33,7.58,7.42,7.67,7.5,0.11,Yes
652,Brazil,Other,7.58,7.33,7.75,7.5,7.5,0.0,Yes
653,Brazil,Bourbon,7.5,7.5,7.5,7.58,7.5,0.11,Yes
654,Other,Other,7.83,7.25,7.5,7.42,7.33,0.11,Yes
655,Other,Caturra,7.58,7.33,7.5,7.5,7.5,0.1,Yes
656,Guatemala,Bourbon,7.5,7.33,7.5,7.67,7.5,0.1,Yes
658,Other,Caturra,7.33,7.5,7.5,7.67,7.5,0.11,Yes
659,Other,Other,7.67,7.33,7.58,7.5,7.5,0.12,Yes
661,Mexico,Other,7.42,7.5,7.67,7.25,7.5,0.0,Yes
662,Brazil,Other,7.42,7.67,7.33,7.42,7.67,0.11,Yes
663,Guatemala,Bourbon,7.83,7.33,7.67,7.42,7.5,0.12,Yes
664,Colombia,Caturra,7.5,7.42,7.42,7.58,7.58,0.11,Yes
665,Guatemala,Bourbon,7.83,7.17,7.33,7.5,7.67,0.11,Yes
666,Mexico,Typica,7.5,7.5,7.5,7.42,7.42,0.13,Yes
667,Mexico,Typica,7.67,7.33,7.67,7.5,7.33,0.12,Yes
668,Mexico,Typica,7.92,7.33,7.58,7.25,7.42,0.11,Yes
670,Brazil,Bourbon,7.67,7.33,7.67,7.5,7.5,0.0,Yes
671,Colombia,Caturra,7.67,7.33,7.5,7.25,7.67,0.11,Yes
674,Other,Other,7.42,7.17,7.58,7.58,7.5,0.12,No
675,Guatemala,Bourbon,7.58,7.33,7.75,7.33,7.5,0.1,No
676,Guatemala,Bourbon,7.67,7.25,7.67,7.42,7.33,0.12,No
677,Guatemala,Bourbon,7.58,7.25,7.67,7.5,7.5,0.12,No
679,Colombia,Caturra,5.08,7.83,7.75,7.83,8.08,0.11,No
680,Other,Other,7.67,7.42,7.5,7.42,7.42,0.1,No
682,Other,Other,7.67,7.42,7.42,7.67,7.42,0.13,No
683,Brazil,Other,7.17,7.33,7.5,7.75,7.42,0.0,No
684,Guatemala,Caturra,7.5,7.5,7.67,7.42,7.5,0.1,No
685,Mexico,Typica,7.42,7.42,7.58,7.42,7.5,0.11,No
686,Brazil,Catuai,7.58,7.33,7.5,7.5,7.42,0.12,No
688,Brazil,Other,7.25,7.25,7.5,7.42,7.5,0.0,No
689,Mexico,Bourbon,7.5,7.5,7.92,7.42,7.67,0.12,No
691,Colombia,Caturra,7.67,7.33,7.5,7.58,7.5,0.11,No
692,Mexico,Typica,7.5,7.42,7.67,7.42,7.58,0.12,No
693,Mexico,Typica,7.42,7.5,7.42,7.58,7.5,0.13,No
694,Mexico,Typica,7.42,7.33,7.58,7.5,7.5,0.14,No
695,Mexico,Caturra,7.75,7.25,7.58,7.58,7.33,0.13,No
696,Mexico,Typica,7.5,7.33,7.5,7.5,7.5,0.11,No
697,Mexico,Other,7.58,7.17,7.5,7.5,7.5,0.14,No
698,Mexico,Caturra,7.58,7.33,7.58,7.5,7.5,0.11,No
699,Mexico,Bourbon,7.67,7.33,7.42,7.58,7.33,0.13,No
700,Mexico,Typica,7.83,7.42,7.67,7.17,7.33,0.12,No
701,Colombia,Caturra,7.67,7.25,7.42,7.5,7.67,0.0,No
703,Colombia,Caturra,7.33,7.17,7.58,7.42,7.58,0.0,No
705,Other,Caturra,7.5,7.33,7.5,7.42,7.42,0.1,No
706,Brazil,Catuai,7.33,7.5,7.33,7.5,7.5,0.11,No
708,Brazil,Bourbon,7.5,7.42,7.5,7.42,7.5,0.11,No
709,Other,Caturra,7.75,7.25,7.25,7.42,7.67,0.1,No
710,Other,Catuai,7.75,7.5,7.5,7.33,7.58,0.0,No
711,Other,Other,7.5,7.42,7.5,7.42,7.42,0.12,No
712,Brazil,Bourbon,8.25,7.25,8.33,8.17,8.08,0.07,No
714,Guatemala,Bourbon,7.5,7.17,7.83,7.5,7.5,0.1,No
715,Other,Other,7.33,7.42,7.58,7.33,7.5,0.12,No
716,Brazil,Bourbon,7.75,7.67,8.08,8.08,8.0,0.11,No
717,Guatemala,Other,7.58,7.5,7.58,7.75,7.5,0.12,No
719,Colombia,Caturra,7.42,7.5,7.17,7.08,8.33,0.1,No
720,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,No
721,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,No
722,Guatemala,Bourbon,7.5,7.58,7.5,7.5,7.58,0.12,No
723,Colombia,Caturra,7.5,7.5,7.5,7.5,7.58,0.0,No
724,Mexico,Typica,7.67,7.42,7.5,7.42,7.42,0.12,No
726,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.33,0.11,No
727,Mexico,Typica,7.58,7.58,7.33,7.0,7.58,0.15,No
728,Mexico,Bourbon,7.67,7.5,7.58,7.5,7.5,0.13,No
729,Guatemala,Bourbon,7.5,7.33,7.5,7.33,7.5,0.1,No
730,Brazil,Other,7.58,7.42,7.5,7.5,7.42,0.12,No
731,Mexico,Typica,8.0,7.33,7.33,7.08,7.67,0.11,No
732,Brazil,Other,7.58,7.25,7.58,7.42,7.5,0.11,No
733,Colombia,Caturra,7.83,7.33,7.25,7.58,7.42,0.0,No
734,Brazil,Catuai,7.58,7.25,7.42,7.67,7.33,0.09,No
736,Guatemala,Other,7.67,7.25,7.67,7.42,7.42,0.11,No
737,Brazil,Other,7.42,7.5,7.08,7.5,7.42,0.0,No
738,Other,Bourbon,7.58,7.5,7.67,7.83,8.42,0.12,No
739,Other,Catuai,7.58,7.42,7.58,7.42,7.42,0.11,No
740,Other,Other,7.58,7.33,7.42,7.58,7.5,0.13,No
741,Brazil,Bourbon,7.75,7.42,7.42,7.33,7.33,0.11,No
742,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,No
743,Mexico,Other,7.58,7.42,7.42,7.42,7.42,0.12,No
745,Mexico,Bourbon,7.58,7.5,7.17,7.42,7.42,0.16,No
746,Guatemala,Bourbon,7.5,7.33,7.58,7.67,7.33,0.11,No
747,Mexico,Bourbon,7.5,7.42,7.67,7.33,7.42,0.13,No
748,Mexico,Typica,7.67,7.33,7.5,7.42,7.42,0.12,No
750,Mexico,Typica,7.33,7.42,7.67,7.33,7.5,0.11,No
751,Mexico,Typica,7.42,7.42,7.58,7.42,7.5,0.1,No
752,Colombia,Caturra,7.5,7.67,7.33,7.58,7.33,0.12,No
753,Colombia,Caturra,7.67,7.33,7.33,7.5,7.5,0.11,No
756,Brazil,Bourbon,7.42,7.5,7.42,7.42,7.5,0.11,No
757,Other,Caturra,7.5,7.17,7.42,7.5,7.5,0.11,No
759,Other,Bourbon,7.58,7.42,7.33,7.5,7.42,0.13,No
760,Other,Other,7.42,7.42,7.5,7.5,7.33,0.12,No
761,Brazil,Other,6.92,7.42,7.33,7.83,7.5,0.0,No
763,Other,Catuai,7.67,7.25,7.42,7.58,7.42,0.11,No
764,Guatemala,Bourbon,7.42,7.5,7.5,7.42,7.5,0.09,No
766,Other,Other,7.75,7.42,7.58,7.33,7.42,0.12,No
767,Mexico,Other,7.42,7.17,7.42,7.33,8.17,0.12,No
768,Mexico,Other,7.5,7.33,7.42,7.5,7.42,0.1,No
769,Taiwan,Typica,7.5,7.5,7.5,7.5,7.5,0.11,No
770,Taiwan,Typica,7.67,7.5,7.17,7.17,7.58,0.0,No
771,Colombia,Caturra,7.33,7.25,7.58,7.75,7.5,0.0,No
772,Mexico,Typica,7.5,7.0,7.5,7.33,7.5,0.15,No
773,Guatemala,Caturra,7.25,7.0,7.75,8.17,7.75,0.12,No
774,Mexico,Typica,7.5,7.25,7.5,7.5,7.33,0.12,No
775,Mexico,Typica,7.0,7.5,7.5,7.42,7.5,0.1,No
777,Other,Bourbon,7.5,7.42,7.42,7.5,7.42,0.15,No
779,Brazil,Bourbon,7.42,7.42,7.5,7.42,7.25,0.11,No
780,Brazil,Other,7.25,7.58,7.58,7.25,7.92,0.0,No
781,Other,Caturra,7.75,7.42,7.25,7.17,7.42,0.0,No
782,Other,Bourbon,7.42,7.42,7.42,7.5,7.58,0.12,No
783,Other,Other,7.42,7.5,7.33,7.33,7.5,0.12,No
785,Other,Caturra,7.58,7.33,7.33,7.5,7.67,0.11,No
787,Mexico,Typica,7.42,7.5,7.33,7.42,7.42,0.13,No
788,Mexico,Typica,7.5,7.42,7.5,7.25,7.5,0.13,No
789,Mexico,Typica,7.67,7.25,7.58,7.42,7.33,0.11,No
790,Other,Other,7.67,7.17,7.08,7.67,7.08,0.12,No
791,Mexico,Typica,7.58,7.25,7.75,7.33,7.42,0.11,No
794,Other,Caturra,7.5,7.17,7.5,7.5,7.42,0.12,No
795,Other,Caturra,7.5,7.25,7.33,7.42,7.5,0.1,No
796,Brazil,Bourbon,7.5,7.42,7.5,7.33,7.42,0.11,No
797,Other,Other,7.67,7.33,7.42,7.42,7.42,0.13,No
798,Other,Other,7.42,7.25,7.33,7.5,7.5,0.12,No
799,Other,Other,7.42,7.33,7.58,7.33,7.42,0.12,No
800,Other,Other,7.5,7.33,7.58,7.33,7.5,0.13,No
801,Taiwan,Typica,7.33,7.17,7.42,7.5,7.33,0.09,No
803,Other,Catuai,7.5,7.33,7.33,7.75,7.5,0.1,No
804,Other,Caturra,7.33,7.33,7.5,7.5,7.83,0.11,No
805,Colombia,Caturra,7.33,7.58,7.5,7.5,7.58,0.11,No
806,Taiwan,Typica,7.42,7.33,7.42,8.0,7.5,0.12,No
807,Brazil,Other,7.33,7.42,7.17,7.33,7.42,0.11,No
808,Mexico,Typica,7.67,7.25,7.5,7.42,7.42,0.12,No
809,Brazil,Other,7.42,7.33,7.5,7.33,7.5,0.12,No
810,Brazil,Catuai,7.42,7.25,7.5,7.5,7.42,0.11,No
812,Brazil,Other,7.58,7.17,7.5,7.5,7.42,0.12,No
813,Guatemala,Bourbon,7.75,7.33,7.42,7.75,7.67,0.0,No
814,Colombia,Caturra,7.33,7.08,7.42,7.5,7.67,0.07,No
815,Guatemala,Bourbon,7.58,7.25,7.58,7.58,7.5,0.1,No
816,Guatemala,Bourbon,7.5,7.25,7.42,7.42,7.42,0.11,No
817,Other,Caturra,7.58,7.25,7.33,7.42,7.5,0.12,No
818,Brazil,Catuai,7.42,7.33,7.5,7.5,7.33,0.11,No
819,Other,Bourbon,7.67,7.33,7.5,7.5,7.67,0.11,No
820,Guatemala,Catuai,7.58,7.17,7.83,7.17,7.33,0.11,No
821,Other,Other,7.33,7.33,7.42,7.5,7.58,0.12,No
823,Other,Other,7.67,7.42,7.33,7.75,7.42,0.0,No
825,Taiwan,Typica,7.5,7.42,7.25,7.5,7.5,0.11,No
826,Mexico,Bourbon,7.58,7.25,7.58,7.5,7.25,0.12,No
827,Mexico,Typica,7.5,7.25,7.25,7.5,7.5,0.13,No
828,Mexico,Other,7.5,7.25,7.5,7.33,7.33,0.14,No
829,Mexico,Other,7.33,7.17,7.58,7.42,7.33,0.12,No
830,Mexico,Bourbon,7.67,7.33,7.83,7.5,7.5,0.12,No
831,Brazil,Other,7.42,7.25,7.5,7.33,7.5,0.12,No
833,Guatemala,Bourbon,7.42,7.25,7.5,7.33,7.42,0.1,No
834,Other,Catuai,7.25,7.5,7.33,7.67,7.42,0.0,No
835,Brazil,Other,7.42,7.42,7.5,7.42,7.25,0.11,No
836,Other,Other,7.75,7.58,7.75,7.92,7.83,0.11,No
837,Guatemala,Bourbon,7.58,7.33,7.42,7.58,7.25,0.1,No
838,Brazil,Other,7.17,6.83,7.5,7.75,7.25,0.0,No
839,Brazil,Other,7.58,6.92,6.92,7.67,7.5,0.0,No
840,Other,Catuai,7.33,7.5,7.42,7.33,7.33,0.0,No
841,Mexico,Catuai,7.58,7.33,7.5,7.17,7.33,0.11,No
842,Other,Catuai,7.5,7.33,7.5,7.42,7.25,0.12,No
843,Other,Caturra,7.67,7.5,7.25,7.08,7.42,0.09,No
844,Taiwan,Typica,7.67,7.17,7.25,7.75,7.33,0.0,No
845,Other,Typica,7.42,7.42,7.33,7.42,7.42,0.11,No
846,Other,Other,7.58,7.33,7.33,7.33,7.42,0.13,No
847,Brazil,Bourbon,7.33,7.25,7.17,7.83,7.33,0.11,No
848,Other,Caturra,7.5,7.33,7.33,7.33,7.33,0.1,No
849,Mexico,Typica,7.42,7.25,7.5,7.33,7.42,0.11,No
850,Colombia,Caturra,7.5,7.0,7.42,7.5,7.58,0.0,No
852,Brazil,Bourbon,7.75,7.5,7.42,7.83,7.75,0.12,No
853,Guatemala,Bourbon,7.83,7.33,7.33,7.67,7.83,0.11,No
854,Mexico,Bourbon,7.83,7.25,7.58,7.25,7.33,0.12,No
855,Mexico,Typica,7.33,7.25,7.5,7.5,7.5,0.12,No
856,Brazil,Other,7.33,7.25,7.5,7.5,7.25,0.02,No
859,Guatemala,Bourbon,7.5,7.25,7.42,7.42,7.33,0.11,No
860,Other,Caturra,7.0,7.33,7.5,7.5,7.33,0.12,No
861,Other,Other,7.42,7.42,7.42,7.33,7.33,0.12,No
863,Mexico,Bourbon,7.5,7.33,7.42,7.25,7.25,0.13,No
864,Mexico,Other,7.42,7.17,7.67,7.33,7.42,0.13,No
865,Mexico,Typica,7.42,7.33,7.58,7.33,7.33,0.11,No
866,Mexico,Caturra,7.33,7.33,7.67,7.42,7.25,0.12,No
867,Mexico,Typica,7.5,7.25,7.33,7.67,7.25,0.12,No
868,Colombia,Caturra,7.33,7.33,7.33,7.5,7.67,0.0,No
870,Brazil,Bourbon,7.42,7.25,7.5,7.5,7.25,0.11,No
871,Guatemala,Bourbon,7.42,7.08,7.42,7.33,7.42,0.1,No
872,Guatemala,Bourbon,7.42,7.17,7.67,7.33,7.42,0.12,No
873,Other,Catuai,7.58,7.33,7.33,7.42,7.25,0.11,No
877,Brazil,Other,7.25,6.92,7.42,7.5,7.58,0.0,No
878,Other,Other,7.42,7.25,7.42,7.5,7.42,0.12,No
879,Other,Other,7.33,7.5,7.25,7.42,7.33,0.12,No
880,Brazil,Bourbon,7.25,7.25,7.5,7.5,7.42,0.1,No
