,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
882,Other,Caturra,7.5,7.5,7.5,7.17,7.17,0.1,No
883,Other,Caturra,7.5,7.17,7.17,7.5,7.08,0.11,No
885,Taiwan,Typica,7.5,7.5,7.25,7.42,7.25,0.11,No
886,Taiwan,Typica,7.58,7.33,7.42,7.33,7.33,0.11,No
887,Mexico,Typica,7.5,7.08,7.58,7.33,7.33,0.12,No
888,Guatemala,Bourbon,7.5,7.33,7.33,7.33,7.33,0.11,No
889,Mexico,Typica,7.25,7.58,7.67,7.67,7.58,0.13,No
890,Mexico,Bourbon,7.67,7.17,7.75,7.5,7.25,0.11,No
891,Mexico,Bourbon,7.5,7.33,7.42,7.42,7.42,0.11,No
892,Mexico,Bourbon,7.58,7.25,7.58,7.25,7.17,0.11,No
893,Mexico,Caturra,7.75,7.25,7.17,7.58,7.33,0.11,No
895,Other,Other,7.5,7.08,7.42,7.5,7.33,0.11,No
896,Guatemala,Bourbon,7.42,7.08,7.5,7.42,7.33,0.12,No
897,Taiwan,Typica,7.42,7.25,7.67,7.33,7.25,0.1,No
898,Other,Caturra,7.58,7.5,7.17,7.08,7.58,0.12,No
899,Other,Other,7.42,7.33,7.42,7.42,7.33,0.12,No
900,Other,Other,7.42,7.17,7.58,7.33,7.33,0.13,No
901,Taiwan,Typica,7.33,7.08,7.08,8.33,8.25,0.0,No
902,Brazil,Other,7.42,7.33,7.33,7.5,7.25,0.12,No
903,Guatemala,Bourbon,7.42,7.17,7.58,7.42,7.5,0.12,No
904,Mexico,Typica,7.67,7.42,7.5,6.75,7.42,0.12,No
905,Mexico,Other,7.33,7.25,7.5,7.5,7.17,0.11,No
906,Mexico,Typica,7.67,7.42,7.58,7.58,7.42,0.11,No
910,Guatemala,Bourbon,7.67,7.17,7.42,7.33,7.42,0.1,No
911,Other,Caturra,7.5,7.33,7.33,7.25,7.33,0.11,No
912,Other,Caturra,7.5,7.33,7.42,7.17,7.25,0.1,No
914,Taiwan,Typica,7.5,7.33,7.08,7.58,7.25,0.12,No
915,Other,Catuai,7.25,7.25,7.5,7.33,7.33,0.0,No
916,Other,Caturra,7.83,7.08,7.08,7.33,7.5,0.12,No
917,Other,Other,7.67,6.92,7.5,7.5,7.17,0.12,No
918,Guatemala,Other,7.5,7.17,7.58,7.25,7.42,0.12,No
919,Taiwan,Typica,7.42,7.67,7.33,7.42,7.5,0.11,No
920,Brazil,Other,7.58,7.5,7.67,7.67,7.83,0.0,No
921,Other,Other,7.42,7.25,7.42,7.42,7.33,0.11,No
922,Taiwan,Typica,7.5,7.25,7.25,7.33,7.33,0.11,No
923,Mexico,Typica,7.33,7.17,7.42,7.5,7.5,0.13,No
924,Mexico,Typica,7.58,7.25,7.42,7.33,7.33,0.12,No
925,Mexico,Catuai,7.42,7.17,7.42,7.17,8.0,0.12,No
926,Mexico,Typica,7.33,7.33,7.33,7.33,7.42,0.11,No
927,Mexico,Bourbon,7.42,7.33,7.17,7.25,7.42,0.13,No
928,Mexico,Typica,7.5,7.25,7.5,7.42,7.58,0.11,No
929,Other,Other,7.75,7.17,7.33,7.58,7.33,0.12,No
930,Brazil,Bourbon,7.5,7.17,7.42,7.5,7.33,0.12,No
934,Mexico,Other,7.58,7.08,7.33,7.5,7.33,0.12,No
935,Guatemala,Catuai,7.42,7.08,7.58,7.33,7.25,0.1,No
936,Brazil,Catuai,7.33,7.5,7.33,6.83,7.42,0.11,No
937,Other,Catuai,7.5,7.17,7.25,7.5,7.42,0.12,No
938,Taiwan,Typica,7.83,7.42,7.17,7.08,7.08,0.12,No
939,Other,Other,7.58,7.33,7.42,7.08,7.42,0.12,No
940,Brazil,Bourbon,7.25,7.42,7.17,7.33,7.33,0.0,No
941,Guatemala,Bourbon,7.42,7.17,7.42,7.42,7.42,0.1,No
942,Mexico,Typica,7.67,7.25,7.17,7.25,7.42,0.0,No
944,Guatemala,Bourbon,7.42,7.25,7.42,7.42,7.5,0.12,No
945,Mexico,Caturra,7.42,7.25,7.17,7.25,7.42,0.13,No
946,Mexico,Typica,7.42,7.25,7.25,7.5,7.33,0.13,No
947,Colombia,Caturra,7.5,7.25,7.17,7.17,7.75,0.11,No
951,Other,Caturra,7.5,7.0,7.17,7.5,7.33,0.11,No
953,Brazil,Catuai,7.25,7.33,7.33,7.33,7.42,0.11,No
954,Other,Catuai,7.58,7.17,7.42,7.17,7.17,0.09,No
955,Brazil,Other,7.17,7.42,7.25,7.42,7.33,0.12,No
956,Other,Other,7.08,7.42,7.33,7.33,7.5,0.14,No
957,Other,Other,7.75,7.08,7.33,7.33,7.25,0.13,No
958,Other,Catuai,7.33,7.17,7.33,7.5,7.33,0.12,No
959,Mexico,Typica,7.58,7.25,7.33,7.25,7.25,0.13,No
960,Mexico,Typica,7.33,7.17,7.42,7.58,7.33,0.12,No
961,Brazil,Catuai,7.5,7.5,7.5,7.75,7.83,0.11,No
962,Taiwan,Typica,7.83,7.67,7.83,7.83,7.75,0.12,No
963,Brazil,Other,7.17,7.17,7.08,6.92,8.17,0.0,No
964,Other,Catuai,7.08,7.33,7.17,7.42,7.25,0.1,No
965,Other,Catuai,7.42,7.17,7.5,7.33,7.25,0.12,No
966,Guatemala,Other,7.33,7.17,7.25,7.42,7.33,0.09,No
967,Other,Other,7.33,7.17,7.5,7.25,7.42,0.13,No
968,Taiwan,Typica,7.5,7.25,7.25,7.25,7.25,0.11,No
969,Guatemala,Caturra,7.5,7.5,7.58,7.0,7.25,0.11,No
970,Mexico,Typica,7.42,7.33,7.33,7.5,7.42,0.12,No
972,Other,Bourbon,7.67,7.17,7.33,7.5,7.17,0.12,No
973,Mexico,Caturra,7.75,7.08,7.25,7.08,7.25,0.12,No
974,Other,Caturra,7.5,7.33,7.17,7.08,7.17,0.11,No
975,Other,Catuai,7.42,7.0,7.42,7.33,7.33,0.13,No
976,Other,Caturra,6.83,7.42,7.17,7.5,7.42,0.12,No
977,Other,Typica,7.25,7.25,7.08,7.58,7.5,0.0,No
978,Other,Bourbon,7.58,7.17,7.33,7.33,7.25,0.12,No
979,Other,Caturra,7.58,7.33,7.08,7.33,7.33,0.12,No
980,Other,Catuai,7.33,7.33,7.25,7.33,7.58,0.11,No
982,Mexico,Typica,7.42,7.08,7.75,7.42,7.17,0.13,No
983,Guatemala,Caturra,7.42,7.33,7.25,7.25,7.42,0.12,No
984,Brazil,Other,7.42,7.25,7.42,7.5,7.17,0.12,No
987,Brazil,Other,7.58,7.5,7.25,7.75,7.58,0.11,No
988,Other,Other,7.33,7.33,7.42,7.33,7.33,0.11,No
989,Other,Other,7.42,7.33,7.42,7.25,7.33,0.0,No
990,Other,Other,7.42,7.33,7.25,7.25,7.33,0.13,No
991,Other,Caturra,7.42,7.17,7.25,7.25,7.58,0.13,No
992,Other,Other,7.67,7.67,7.58,7.58,7.67,0.0,No
993,Mexico,Typica,7.25,7.33,7.33,7.17,7.33,0.13,No
994,Mexico,Typica,7.33,7.33,7.42,7.25,7.42,0.12,No
995,Mexico,Typica,7.33,7.25,7.42,7.25,7.25,0.11,No
996,Mexico,Typica,7.42,7.25,7.42,7.17,7.25,0.1,No
999,Other,Bourbon,7.42,7.08,7.33,7.25,7.58,0.0,No
1001,Guatemala,Bourbon,7.42,7.17,7.5,7.25,7.17,0.09,No
1002,Colombia,Caturra,7.67,7.42,5.25,7.67,7.75,0.0,No
1003,Guatemala,Bourbon,7.5,7.0,7.25,7.5,7.25,0.11,No
1004,Taiwan,Typica,7.25,7.17,7.25,7.5,7.33,0.12,No
1005,Other,Caturra,7.42,7.25,7.33,7.25,7.17,0.12,No
1007,Other,Other,7.33,7.08,7.42,7.17,7.33,0.12,No
1008,Other,Other,7.33,7.17,7.33,7.42,7.42,0.12,No
1009,Taiwan,Typica,7.5,7.33,7.33,7.33,7.33,0.11,No
1011,Mexico,Other,7.08,7.33,7.33,7.42,7.25,0.12,No
1012,Mexico,Typica,7.58,7.5,7.67,7.58,7.5,0.0,No
1013,Taiwan,Other,7.33,7.25,7.33,7.33,7.25,0.0,No
1014,Guatemala,Bourbon,7.67,7.33,7.58,7.67,7.5,0.1,No
1015,Other,Other,7.17,7.5,7.5,8.0,7.75,0.11,No
1016,Mexico,Bourbon,7.5,7.17,7.42,7.5,7.33,0.11,No
1017,Other,Other,7.17,7.0,7.58,7.33,7.0,0.0,No
1019,Other,Other,7.33,7.17,7.25,7.42,7.33,0.12,No
1020,Brazil,Other,7.25,7.25,7.25,7.25,7.33,0.12,No
1021,Taiwan,Typica,7.92,7.33,7.08,7.08,7.08,0.09,No
1022,Brazil,Bourbon,7.17,7.17,7.25,7.25,7.33,0.1,No
1023,Other,Caturra,7.33,7.25,7.0,7.5,7.42,0.1,No
1024,Guatemala,Other,7.58,6.92,7.5,7.25,7.17,0.12,No
1025,Taiwan,Typica,7.42,7.25,7.25,7.25,7.25,0.11,No
1026,Taiwan,Typica,7.25,7.08,7.08,7.08,8.08,0.11,No
1027,Taiwan,Typica,7.42,7.25,7.25,7.25,7.25,0.11,No
1028,Mexico,Typica,7.58,7.08,7.5,7.17,7.25,0.13,No
1030,Other,Other,7.42,7.17,7.17,7.17,7.25,0.0,No
1031,Guatemala,Caturra,7.67,7.08,7.33,7.17,7.25,0.11,No
1032,Mexico,Catuai,7.17,7.25,7.42,7.25,7.33,0.13,No
1033,Mexico,Typica,7.33,7.33,7.33,7.25,7.17,0.11,No
1034,Mexico,Bourbon,7.5,7.33,7.25,7.17,7.17,0.13,No
1038,Other,Catuai,6.92,7.0,7.58,7.5,7.08,0.0,No
1039,Guatemala,Caturra,7.5,7.0,7.42,7.17,7.17,0.12,No
1040,Other,Other,7.25,7.17,7.25,7.33,7.25,0.12,No
1041,Other,Caturra,7.5,7.0,7.42,7.25,7.17,0.11,No
1042,Other,Caturra,7.25,7.17,7.33,7.33,7.17,0.11,No
1043,Other,Catuai,7.42,7.08,7.42,7.25,7.25,0.09,No
1044,Other,Catuai,7.25,7.08,7.5,7.25,7.33,0.13,No
1045,Other,Caturra,7.33,7.25,7.25,7.17,7.17,0.11,No
1046,Mexico,Typica,7.58,7.42,7.25,7.5,7.5,0.11,No
1047,Other,Typica,7.42,7.42,7.25,7.08,7.33,0.12,No
1050,Other,Other,7.58,7.0,7.67,7.5,7.5,0.13,No
1051,Guatemala,Bourbon,7.67,6.83,7.17,7.42,7.17,0.11,No
1052,Other,Caturra,7.83,7.67,7.67,7.83,7.5,0.11,No
1053,Other,Caturra,7.5,7.17,7.17,7.25,7.17,0.12,No
1054,Mexico,Typica,7.25,7.17,7.25,7.17,7.42,0.12,No
1055,Colombia,Caturra,7.67,7.42,7.67,7.5,7.75,0.0,No
1056,Guatemala,Bourbon,7.67,7.0,7.5,7.0,7.0,0.12,No
1062,Other,Other,7.25,7.08,7.33,7.33,7.25,0.12,No
1063,Brazil,Bourbon,7.42,7.33,7.0,7.08,7.25,0.0,No
1064,Other,Caturra,7.5,7.0,7.42,7.33,7.0,0.11,No
1065,Guatemala,Bourbon,7.17,6.83,7.5,7.17,7.25,0.11,No
1068,Taiwan,Other,7.17,7.17,7.42,7.17,7.25,0.0,No
1069,Guatemala,Caturra,7.33,7.08,7.17,7.25,7.17,0.1,No
1070,Other,Catuai,7.58,7.0,7.17,7.33,7.08,0.11,No
1072,Brazil,Other,7.25,7.17,7.5,7.33,7.25,0.11,No
1073,Other,Other,7.17,7.17,7.42,7.25,7.08,0.0,No
1074,Guatemala,Other,7.5,6.83,7.5,7.17,7.17,0.11,No
1075,Brazil,Other,7.42,7.08,7.33,7.67,7.5,0.1,No
1077,Guatemala,Bourbon,7.5,7.0,7.67,7.17,7.0,0.12,No
1078,Mexico,Typica,7.25,7.08,7.33,7.25,7.17,0.15,No
1080,Taiwan,Typica,7.58,7.17,7.17,7.17,7.17,0.14,No
1081,Other,Bourbon,7.33,7.08,7.08,7.33,7.17,0.0,No
1082,Other,Other,7.25,7.25,7.17,7.33,7.17,0.17,No
1083,Taiwan,Typica,7.25,7.17,7.25,7.25,7.25,0.11,No
1084,Mexico,Typica,6.92,7.08,7.5,7.33,7.17,0.1,No
1085,Mexico,Caturra,7.42,7.08,7.33,7.25,7.17,0.12,No
1087,Other,Bourbon,7.25,7.0,7.25,7.42,7.08,0.13,No
1089,Taiwan,Other,7.25,7.08,7.25,7.25,7.25,0.11,No
1090,Guatemala,Bourbon,7.33,6.83,7.5,7.0,7.17,0.11,No
1091,Mexico,Typica,7.25,7.08,7.33,7.33,7.17,0.11,No
1094,Brazil,Catuai,7.17,7.42,7.08,7.0,7.0,0.11,No
1095,Other,Caturra,7.25,7.0,7.0,7.42,7.0,0.1,No
1096,Mexico,Caturra,7.25,7.0,7.33,7.33,7.0,0.1,No
1097,Other,Other,8.0,7.0,7.33,7.08,6.92,0.11,No
1098,Other,Catuai,7.42,7.08,7.0,7.17,7.33,0.0,No
1099,Other,Caturra,7.08,7.0,7.25,7.5,7.25,0.11,No
1102,Taiwan,Typica,7.25,7.25,7.25,7.17,7.25,0.11,No
1103,Guatemala,Caturra,7.0,7.33,7.33,7.0,7.17,0.11,No
1104,Mexico,Caturra,7.58,7.17,7.25,6.75,7.0,0.11,No
1105,Other,Other,7.42,7.25,7.58,7.42,7.33,0.0,No
1106,Other,Caturra,7.17,7.08,7.33,7.25,7.08,0.11,No
1107,Other,Catuai,7.25,7.0,7.17,7.08,7.08,0.11,No
1108,Guatemala,Bourbon,7.33,7.0,7.17,7.17,7.17,0.11,No
1109,Mexico,Typica,7.33,6.92,7.42,7.25,7.08,0.11,No
1110,Mexico,Typica,7.58,7.33,7.5,7.08,7.17,0.14,No
1111,Mexico,Bourbon,7.33,7.17,7.08,7.25,7.0,0.12,No
1112,Guatemala,Bourbon,7.33,7.0,7.33,7.0,7.0,0.11,No
1114,Brazil,Bourbon,7.17,7.0,7.17,7.25,7.25,0.11,No
1115,Taiwan,Typica,7.42,7.25,7.17,7.0,7.0,0.07,No
1117,Taiwan,Typica,7.25,7.25,7.25,7.08,7.0,0.11,No
1118,Taiwan,Typica,7.25,7.25,7.0,7.25,7.08,0.11,No
1119,Taiwan,Typica,7.25,7.25,7.08,7.17,7.08,0.11,No
1120,Mexico,Typica,7.33,7.25,7.08,7.08,7.08,0.15,No
1121,Mexico,Typica,7.25,7.0,7.17,7.33,7.17,0.14,No
1122,Other,Caturra,7.33,6.92,7.08,7.42,7.17,0.1,No
1123,Other,Other,7.17,7.0,7.42,7.17,7.0,0.0,No
1124,Mexico,Typica,7.58,7.42,7.5,7.5,7.5,0.0,No
1125,Taiwan,Typica,7.25,7.25,7.0,7.25,7.0,0.11,No
1127,Mexico,Typica,7.25,7.08,7.17,7.33,7.33,0.12,No
1128,Mexico,Other,7.08,7.0,7.33,7.08,7.0,0.11,No
1132,Mexico,Bourbon,7.33,7.08,7.33,7.42,7.17,0.12,No
1133,Mexico,Other,7.17,6.92,7.25,7.33,7.08,0.12,No
1134,Mexico,Bourbon,7.5,7.0,7.17,7.25,7.08,0.0,No
1135,Mexico,Catuai,7.17,7.08,7.08,7.5,7.33,0.11,No
1136,Mexico,Typica,7.33,7.0,7.42,7.17,7.17,0.12,No
1137,Mexico,Other,7.17,7.08,7.58,7.33,7.08,0.11,No
1139,Other,Other,7.0,7.0,7.17,7.25,7.25,0.11,No
1140,Guatemala,Bourbon,7.33,6.92,7.33,7.25,7.33,0.1,No
1141,Other,Caturra,6.83,7.17,6.92,7.5,7.08,0.11,No
1142,Mexico,Typica,7.17,7.0,7.25,7.5,7.0,0.12,No
1144,Guatemala,Bourbon,7.5,7.25,7.58,7.33,7.42,0.1,No
1145,Taiwan,Typica,7.75,7.17,7.33,7.67,7.83,0.0,No
1146,Taiwan,Typica,7.08,7.25,7.0,7.17,7.17,0.1,No
1149,Other,Catuai,7.58,7.67,7.75,7.67,7.58,0.1,No
1150,Mexico,Typica,7.58,7.0,7.0,7.5,6.92,0.12,No
1151,Mexico,Bourbon,7.58,6.92,7.58,7.5,6.92,0.13,No
1152,Mexico,Bourbon,7.25,7.0,7.17,7.17,7.08,0.12,No
1153,Mexico,Bourbon,7.25,7.17,7.08,7.17,7.0,0.14,No
1154,Mexico,Typica,7.33,7.0,7.08,7.08,7.0,0.1,No
1156,Mexico,Typica,7.25,6.92,7.08,7.25,7.08,0.12,No
1157,Guatemala,Bourbon,7.42,7.25,7.58,7.42,7.33,0.1,No
1158,Other,Bourbon,7.25,7.0,6.83,7.33,7.17,0.0,No
1160,Guatemala,Bourbon,7.5,6.83,7.08,7.08,7.17,0.11,No
1161,Mexico,Typica,7.42,6.83,7.58,7.17,6.58,0.12,No
1162,Mexico,Caturra,7.33,7.0,6.75,7.08,7.0,0.13,No
1163,Mexico,Other,6.92,7.17,7.17,7.08,7.08,0.0,No
1165,Mexico,Typica,7.08,6.92,7.33,7.25,7.08,0.12,No
1166,Mexico,Caturra,7.25,6.92,7.33,7.25,7.0,0.13,No
1169,Other,Caturra,6.92,7.0,7.42,7.25,7.0,0.12,No
1170,Taiwan,Typica,6.92,7.17,7.0,7.42,7.0,0.0,No
1171,Colombia,Caturra,7.83,7.42,7.42,7.67,7.5,0.0,No
1172,Mexico,Caturra,7.25,6.92,7.25,7.58,7.08,0.12,No
1173,Mexico,Typica,7.25,7.0,7.25,7.17,7.17,0.12,No
1174,Guatemala,Bourbon,7.08,7.25,7.58,7.33,7.42,0.1,No
1175,Guatemala,Other,7.25,6.83,7.0,7.0,7.17,0.1,No
1176,Mexico,Typica,7.0,6.83,7.42,7.33,7.17,0.13,No
1178,Colombia,Caturra,7.42,6.75,7.25,7.42,7.25,0.0,No
1179,Mexico,Typica,7.0,6.83,7.33,7.42,6.92,0.14,No
1180,Mexico,Typica,7.42,7.08,7.17,7.08,7.08,0.14,No
1182,Taiwan,Typica,7.08,6.83,7.25,7.42,7.08,0.11,No
1183,Mexico,Bourbon,7.0,6.92,7.17,7.17,7.08,0.13,No
1184,Guatemala,Bourbon,7.33,7.33,7.42,7.5,7.42,0.1,No
1185,Other,Catuai,7.58,6.75,6.92,7.0,6.92,0.11,No
1186,Guatemala,Bourbon,7.08,6.92,7.42,7.0,6.92,0.11,No
1187,Guatemala,Catuai,7.25,6.75,7.25,7.0,6.92,0.11,No
1189,Mexico,Typica,7.25,6.92,7.08,7.17,7.17,0.14,No
1190,Mexico,Typica,7.17,6.92,7.08,7.17,7.0,0.14,No
1191,Mexico,Typica,6.75,6.83,7.25,7.58,7.08,0.01,No
1192,Guatemala,Bourbon,7.58,7.42,7.42,7.67,7.67,0.1,No
1193,Other,Other,7.42,6.75,7.33,7.33,6.92,0.13,No
1194,Mexico,Typica,7.33,6.92,7.25,7.33,7.08,0.16,No
1195,Mexico,Other,7.25,6.75,7.33,7.42,7.0,0.11,No
1196,Mexico,Typica,7.17,7.25,7.17,7.25,7.08,0.1,No
1198,Guatemala,Other,7.33,6.58,7.42,7.08,6.83,0.12,No
1199,Other,Other,7.0,7.0,7.0,7.0,7.0,0.11,No
1200,Other,Typica,7.67,7.08,7.25,8.0,7.5,0.0,No
1201,Mexico,Other,6.75,6.67,7.25,7.17,7.08,0.12,No
1202,Mexico,Typica,7.5,6.92,7.5,7.25,7.0,0.14,No
1203,Mexico,Typica,7.17,6.83,7.25,7.17,6.92,0.14,No
1204,Mexico,Typica,7.33,6.75,7.08,7.17,7.25,0.12,No
1205,Mexico,Typica,7.5,6.92,7.08,6.92,6.75,0.16,No
1206,Other,Caturra,7.17,6.92,7.0,7.0,7.0,0.1,No
1208,Guatemala,Bourbon,7.33,6.33,7.25,7.0,7.0,0.12,No
1209,Mexico,Typica,7.25,6.83,7.0,7.17,7.0,0.14,No
1210,Mexico,Typica,7.25,7.17,7.25,7.08,7.0,0.14,No
1211,Mexico,Bourbon,7.67,6.83,7.33,7.58,7.17,0.12,No
1212,Other,Typica,7.0,6.83,7.17,7.17,7.17,0.0,No
1213,Mexico,Caturra,6.92,6.67,7.25,7.17,6.92,0.13,No
1216,Guatemala,Other,7.33,6.92,7.58,7.25,7.17,0.12,No
1217,Taiwan,Typica,6.83,7.17,7.25,7.0,6.92,0.1,No
1218,Mexico,Typica,7.0,6.75,7.33,6.92,6.92,0.13,No
1219,Mexico,Typica,7.92,7.58,7.92,7.92,7.5,0.1,No
1221,Mexico,Bourbon,7.25,6.92,6.92,7.25,7.58,0.0,No
1222,Mexico,Typica,7.08,6.83,7.0,7.0,6.92,0.12,No
1223,Mexico,Caturra,7.25,7.0,6.83,7.58,7.08,0.13,No
1225,Mexico,Typica,7.58,7.0,7.17,7.33,7.0,0.14,No
1227,Guatemala,Other,7.17,6.67,7.0,7.17,7.17,0.1,No
1228,Guatemala,Bourbon,7.17,6.5,7.17,7.0,6.83,0.11,No
1229,Mexico,Typica,7.25,7.0,7.5,7.33,7.42,0.13,No
1233,Other,Other,6.92,6.92,6.92,6.92,6.83,0.13,No
1234,Mexico,Typica,7.08,6.67,7.25,7.25,6.92,0.11,No
1235,Taiwan,Other,7.5,7.33,7.17,7.5,7.5,0.0,No
1236,Other,Other,6.83,6.67,7.0,7.0,6.83,0.11,No
1238,Guatemala,Other,7.42,6.83,7.33,7.0,6.92,0.1,No
1239,Other,Typica,7.33,6.92,7.08,7.33,7.0,0.1,No
1240,Guatemala,Bourbon,7.0,6.83,7.17,6.67,6.83,0.11,No
1241,Mexico,Other,7.25,7.0,7.0,7.25,7.08,0.12,No
1243,Other,Caturra,7.5,7.42,7.0,7.08,6.83,0.12,No
1244,Mexico,Typica,7.42,7.0,7.0,7.25,7.08,0.11,No
1248,Guatemala,Bourbon,7.0,6.67,7.17,6.83,6.83,0.11,No
1249,Taiwan,Typica,7.17,6.58,7.33,7.33,7.17,0.11,No
1251,Mexico,Typica,7.17,6.58,6.75,6.83,6.75,0.13,No
1252,Guatemala,Bourbon,7.08,6.33,7.0,6.92,7.0,0.11,No
1253,Brazil,Bourbon,7.5,7.42,7.58,7.58,6.92,0.0,No
1254,Guatemala,Other,7.33,6.83,7.17,7.17,7.17,0.1,No
1255,Mexico,Typica,7.33,6.67,7.0,6.92,6.92,0.15,No
1256,Other,Typica,6.83,6.83,6.75,6.92,6.92,0.1,No
1258,Mexico,Other,7.08,7.0,7.25,7.33,7.25,0.12,No
1259,Other,Caturra,7.42,7.42,7.67,7.92,7.83,0.0,No
1261,Mexico,Typica,6.67,6.42,6.83,7.0,6.92,0.0,No
1263,Mexico,Typica,7.17,6.58,7.0,7.25,6.58,0.13,No
1264,Guatemala,Bourbon,7.5,6.83,7.5,7.17,7.33,0.11,No
1268,Mexico,Typica,7.42,6.83,7.08,6.92,6.83,0.16,No
1269,Other,Other,7.33,6.5,6.08,7.58,6.33,0.12,No
1270,Mexico,Bourbon,7.08,6.83,7.17,7.17,7.08,0.12,No
1271,Other,Other,6.83,6.67,6.83,7.0,6.83,0.11,No
1274,Guatemala,Bourbon,7.92,7.17,7.58,7.33,7.17,0.11,No
1276,Mexico,Other,7.5,6.92,7.0,7.17,6.83,0.11,No
1277,Mexico,Other,7.17,6.67,6.83,7.25,7.75,0.11,No
1278,Mexico,Other,7.25,6.67,7.08,7.17,6.83,0.12,No
1279,Mexico,Typica,7.17,6.83,7.17,7.42,6.67,0.13,No
1280,Mexico,Typica,7.0,6.75,6.92,7.17,6.83,0.14,No
1281,Mexico,Typica,7.08,6.58,7.0,7.0,6.75,0.17,No
1282,Mexico,Typica,7.33,6.67,7.25,7.5,7.0,0.12,No
1285,Mexico,Typica,7.08,6.83,7.5,7.33,6.83,0.12,No
1287,Guatemala,Bourbon,6.5,6.5,7.5,7.33,6.83,0.11,No
1288,Mexico,Typica,7.0,6.67,6.83,7.08,6.83,0.14,No
1289,Mexico,Typica,6.92,6.17,7.33,7.25,6.75,0.13,No
1290,Mexico,Typica,7.67,7.17,7.58,7.33,7.33,0.12,No
1293,Other,Other,7.0,6.83,7.17,7.0,7.17,0.11,No
1294,Mexico,Typica,7.08,6.92,7.08,6.92,6.92,0.0,No
1298,Other,Caturra,6.33,6.33,6.83,6.33,6.5,0.11,No
1299,Mexico,Other,6.92,6.92,6.92,7.17,7.0,0.12,No
1300,Mexico,Bourbon,6.5,6.42,7.17,7.33,6.5,0.11,No
1301,Mexico,Typica,6.92,6.83,6.92,7.42,6.92,0.12,No
1303,Other,Catuai,6.67,6.17,6.67,6.83,6.17,0.1,No
1304,Other,Catuai,7.0,6.17,6.67,6.5,6.17,0.1,No
1305,Other,Catuai,7.0,6.17,6.5,6.67,6.17,0.1,No
1306,Mexico,Bourbon,7.08,6.25,7.42,7.25,6.75,0.11,No
1307,Other,Typica,6.75,6.42,6.67,7.08,6.67,0.14,No
1308,Other,Caturra,7.25,6.33,6.25,6.42,6.08,0.13,No
1309,Guatemala,Catuai,7.5,6.67,7.67,7.33,6.67,0.1,No
1310,Other,Caturra,0.0,0.0,0.0,0.0,0.0,0.12,No
1319,Other,Other,7.67,7.58,7.83,7.83,8.0,0.09,Yes
1322,Other,Other,7.67,7.75,7.5,7.75,7.58,0.11,No
1333,Other,Other,7.92,7.42,7.42,7.42,7.42,0.0,No
